fig_id	baseline	group_id	group_type
fig|511145.183.peg.918	158.562672798749	DThreLThreDErytUtil	subsystem
fig|511145.183.peg.2809	72.0289398124328	DThreLThreDErytUtil	subsystem
fig|511145.183.peg.2814	53.5730173484403	DThreLThreDErytUtil	subsystem
fig|511145.183.peg.2811	73.9379843565755	DThreLThreDErytUtil	subsystem
fig|511145.183.peg.2810	52.8552489635306	DThreLThreDErytUtil	subsystem
fig|511145.183.peg.2645	151.113030183944	DThreLThreDErytUtil	subsystem
fig|511145.183.peg.2813	45.3226216503345	DThreLThreDErytUtil	subsystem
fig|511145.183.peg.52	144.040085798067	DThreLThreDErytUtil	subsystem
fig|511145.183.peg.2812	44.729057293684	DThreLThreDErytUtil	subsystem
fig|511145.183.peg.3275	154.936006493515	CellEnveLipiHome	subsystem
fig|511145.183.peg.1892	70.0874926230783	CellEnveLipiHome	subsystem
fig|511145.183.peg.3274	132.731120653048	CellEnveLipiHome	subsystem
fig|511145.183.peg.963	74.116639070185	CellEnveLipiHome	subsystem
fig|511145.183.peg.964	68.1048749129006	CellEnveLipiHome	subsystem
fig|511145.183.peg.965	102.685515475894	CellEnveLipiHome	subsystem
fig|511145.183.peg.1893	62.7429269975027	CellEnveLipiHome	subsystem
fig|511145.183.peg.2305	109.087156068357	RiboReduClus	subsystem
fig|511145.183.peg.2304	107.398101472803	RiboReduClus	subsystem
fig|511145.183.peg.2303	103.391873246232	RiboReduClus	subsystem
fig|511145.183.peg.2859	226.553159907566	CtpSyntClus	subsystem
fig|511145.183.peg.3807	175.922738751811	CtpSyntClus	subsystem
fig|511145.183.peg.4317	150.492682155842	PeptMethSulfRedu	subsystem
fig|511145.183.peg.1834	165.653060448337	PeptMethSulfRedu	subsystem
fig|511145.183.peg.2210	69.5180392657614	UridBetaAlanThym	subsystem
fig|511145.183.peg.2209	68.8785879885132	UridBetaAlanThym	subsystem
fig|511145.183.peg.2670	214.257633107394	ProtChap	subsystem
fig|511145.183.peg.14	181.261624560362	ProtChap	subsystem
fig|511145.183.peg.2606	186.154000797094	ProtChap	subsystem
fig|511145.183.peg.13	405.93826287554	ProtChap	subsystem
fig|511145.183.peg.2607	132.201265817293	ProtChap	subsystem
fig|511145.183.peg.2689	321.881818557485	ProtChap	subsystem
fig|511145.183.peg.668	47.0951279665732	ProtChap	subsystem
fig|511145.183.peg.1014	168.510576191081	ProtChap	subsystem
fig|511145.183.peg.1015	172.527201879129	ProtChap	subsystem
fig|511145.183.peg.481	214.51558310703	ProtChap	subsystem
fig|511145.183.peg.2126	67.8168614793935	ProtChap	subsystem
fig|511145.183.peg.3389	1002.70595739517	LsuRiboProtL16pArgi	subsystem
fig|511145.183.peg.1147	145.443821802865	LsuRiboProtL16pArgi	subsystem
fig|511145.183.peg.91	109.206673962949	CellDiviClusCont	subsystem
fig|511145.183.peg.386	128.162658085144	CellDiviClusCont	subsystem
fig|511145.183.peg.96	149.723869679305	CellDiviClusCont	subsystem
fig|511145.183.peg.97	287.799491594093	CellDiviClusCont	subsystem
